date,A,B,C,D
26-Dec-05,11.9,0.2,16.2,0
27-Dec-05,8.7,5.8,16.5,9.2
28-Dec-05,5.6,1.3,6,5.1
29-Dec-05,2.1,8.1,16.5,1.9
30-Dec-05,,,6.2,0
31-Dec-05,1.5,0,3,0
1-Jan-06,4.1,0.8,7.9,13.5
2-Jan-06,,0.7,4.9,2.2
3-Jan-06,7.5,2.1,3.1,2.5
4-Jan-06,2.3,6.7,2,19.6
5-Jan-06,0,2,4.3,0
6-Jan-06,3.7,0.7,7.1,0
7-Jan-06,0,1.6,0,0
8-Jan-06,0,0.1,5.4,0
9-Jan-06,4.7,7.1,9.9,17.8
10-Jan-06,0,0.2,3,3.4
11-Jan-06,3.5,0.3,1.7,0.8
12-Jan-06,3.1,,8.5,1.2
13-Jan-06,18,3,15.5,14.2
14-Jan-06,11.2,28.5,36,19.4
15-Jan-06,0,1.9,4.5,0.9
16-Jan-06,24.1,8.7,14.6,1.6
17-Jan-06,9,3.9,46.6,6.4
18-Jan-06,15,25.5,18.1,14.2
19-Jan-06,1.5,1,10.5,1.4
20-Jan-06,0,1.1,1.4,0
21-Jan-06,0,4.6,23.5,21.5
22-Jan-06,0,0.9,10.1,0
23-Jan-06,13.2,0.2,5,2.1
24-Jan-06,12.2,4,45,19.4
25-Jan-06,10.8,0.2,1.5,1.2
26-Jan-06,2.4,1,11.1,3.6
27-Jan-06,1.2,0.5,24.6,1.8
28-Jan-06,2.5,3.2,8.1,0.7
29-Jan-06,8.1,0.2,1.7,1.3
30-Jan-06,2.5,0,0,0
31-Jan-06,1.6,1.1,0,0
1-Feb-06,0,0.2,10,0
2-Feb-06,0,0,1.4,0
3-Feb-06,1.6,0.8,3.7,0.7
4-Feb-06,1.1,3.3,8,0
5-Feb-06,18.5,1,4.4,1.3
6-Feb-06,4.6,24.2,12.7,10.5
7-Feb-06,3.5,0.8,2.9,0.3
8-Feb-06,22.7,6.2,18.4,0
9-Feb-06,3,0.7,6.9,0
10-Feb-06,1.3,1.8,23.4,1.6
11-Feb-06,3.8,15.6,11.1,15.4
12-Feb-06,3.7,6.1,8.5,2.7
13-Feb-06,0,0,1.5,4.8
14-Feb-06,2.9,0,0,0
15-Feb-06,0,0,0.4,0
16-Feb-06,0,0,2.3,0
17-Feb-06,4.8,5.1,0,2.1
18-Feb-06,13.2,16.4,7.6,17.8
19-Feb-06,1.9,3,6.5,0.8
20-Feb-06,9.1,3,4.6,4.4
21-Feb-06,0,3,4.5,0.6
22-Feb-06,6.3,0,13.1,0
23-Feb-06,0,0.9,2.7,0
24-Feb-06,0,0.2,22.7,2
25-Feb-06,0,0.5,9.4,10
26-Feb-06,5.2,0,4.8,3.2
27-Feb-06,15.6,0,17.6,2.1
28-Feb-06,10.9,0,5.9,1.9
1-Mar-06,9.3,9.1,15.5,12.1
2-Mar-06,30.7,19,45.6,10.1
3-Mar-06,4.2,4.2,10,4.8
4-Mar-06,2.6,1.3,2.4,8.7
5-Mar-06,0,0.1,4.9,0
6-Mar-06,16.2,,5.5,0
7-Mar-06,0,0,0.3,0
8-Mar-06,0,0.2,0,0.6
9-Mar-06,0,0,2.8,0
10-Mar-06,0,6.9,9.6,7.2
11-Mar-06,0,0.1,2.2,0
12-Mar-06,1,0,0.6,0
13-Mar-06,0,0.4,48.1,0
14-Mar-06,2,0,4,0
15-Mar-06,0,0,24.3,0
16-Mar-06,8.5,7.7,9.7,20
17-Mar-06,,0.8,10,0.9
18-Mar-06,12.5,0.1,7.1,0
19-Mar-06,11.1,0.4,3,12.3
20-Mar-06,5.1,2.1,30.1,5
21-Mar-06,,2.7,24.5,5.5
22-Mar-06,6.1,2.5,10.2,0.3
23-Mar-06,2.5,2,11.8,2.7
24-Mar-06,0,0.1,14.3,0
25-Mar-06,0,0,1.1,0
26-Mar-06,0,0,5.5,0
27-Mar-06,0,0,19.1,0
28-Mar-06,14.5,4,37.6,4
29-Mar-06,4.5,3.2,6.7,14
30-Mar-06,11.6,1.8,13,13.9
31-Mar-06,7.5,0.2,1.7,2.9
1-Apr-06,25.8,0,13.1,0
2-Apr-06,8.6,0,7.4,0
3-Apr-06,18.6,3.2,24.6,0
4-Apr-06,2.9,1,22.4,8.2
5-Apr-06,0,1.1,24.1,0
6-Apr-06,7,4.1,4.6,8.9
7-Apr-06,,0.1,1.3,0
8-Apr-06,6.7,0,1.3,0
9-Apr-06,0,13.6,9.1,0.2
10-Apr-06,0,,0.3,0
11-Apr-06,0,0,2.1,0
12-Apr-06,3.7,0,0.7,0
13-Apr-06,5.6,0,9.4,0
14-Apr-06,1.9,1.3,24.6,13
15-Apr-06,0,0.1,4.9,2.4
16-Apr-06,14.1,0,2,0
17-Apr-06,0,6,2.4,0
18-Apr-06,,,0.9,0
19-Apr-06,0,3,0.7,1.1
20-Apr-06,0,0,0,0
21-Apr-06,0,0,0,0
22-Apr-06,0,0,0,0
23-Apr-06,0,0,0,0
24-Apr-06,0,0,0,0
25-Apr-06,0,0,6.6,0
26-Apr-06,0,0,31.5,0.7
27-Apr-06,1.7,0,10.1,0
28-Apr-06,2.2,0,0,0
29-Apr-06,0,0,0,0
30-Apr-06,0,0,7.5,0
1-May-06,0,0,15.6,0
2-May-06,0,0,0,0
3-May-06,0,0,0,0
4-May-06,0,0,0,0
5-May-06,0,0,0.5,0
6-May-06,0,0,0.9,0
7-May-06,0,0,0.9,0
8-May-06,0,0,1.6,0
9-May-06,0,0,6.6,0
10-May-06,0,0,2.8,0
11-May-06,0,0,0,0
12-May-06,0,0,0,0
13-May-06,0,0,0,0
14-May-06,0,0,0,0
15-May-06,0,0,0,0
16-May-06,0,0,0,0
17-May-06,0,0,0,0
18-May-06,0,0,0,0
19-May-06,0,0,0,0
20-May-06,0,0,0.7,0
21-May-06,0,0,0,0
22-May-06,0,0,0.7,0
23-May-06,0,0,1.4,0
24-May-06,0,0,0,0
25-May-06,0,0,0,0
26-May-06,0,0,0,0
27-May-06,0,0,0,0
28-May-06,0,0,0,0
29-May-06,0,0,0,0
30-May-06,0,0,0,0
31-May-06,0,0,3.3,0
1-Jun-06,0,0.2,4,0
2-Jun-06,0,,3.5,0
3-Jun-06,0,0,0,0
4-Jun-06,0,0,0,0
5-Jun-06,0,0,0,0
6-Jun-06,0,0,0,0
7-Jun-06,0,1,4.9,0
8-Jun-06,0,0,0,0
9-Jun-06,0,0,0,0
10-Jun-06,0,0,1,0
11-Jun-06,0,0,0,0
12-Jun-06,0,0,0.6,0
13-Jun-06,0,0,0.2,0
14-Jun-06,0,0,17,0
15-Jun-06,0,0,0.3,0
16-Jun-06,0,0,2.9,0
17-Jun-06,0,0,2.7,0
18-Jun-06,0,0,0,0
19-Jun-06,0,0,0,0
20-Jun-06,0,0,0,0
21-Jun-06,0,0,10.8,0
22-Jun-06,0,0,36.1,0
23-Jun-06,12.4,0.4,19.4,30
24-Jun-06,,,0,0
25-Jun-06,0,0.3,0,0
26-Jun-06,0,0,0,0
27-Jun-06,0,0,0,0
28-Jun-06,0,0,1,0
29-Jun-06,0,0,0.6,0
30-Jun-06,0,0,0,0
1-Jul-06,0,0,0,0
2-Jul-06,0,0,4.2,0
3-Jul-06,0,0,0,0
4-Jul-06,0,0,0,0
5-Jul-06,0,0,0,0
6-Jul-06,0,0,0,0
7-Jul-06,0,0,0,0
8-Jul-06,0,0,0,0
9-Jul-06,0,0,0,0
10-Jul-06,0,0,0,0
11-Jul-06,0,0,0,0
12-Jul-06,0,0,0,0
13-Jul-06,0,0,0.5,0
14-Jul-06,0,0,3.1,0
15-Jul-06,0,0,0,0
16-Jul-06,0,0,0,0
17-Jul-06,0,0,0,0
18-Jul-06,0,0,0,0
19-Jul-06,0,0,0,0
20-Jul-06,0,0,0,0
21-Jul-06,0,0,0,0
22-Jul-06,0,0,0,0
23-Jul-06,0,0,0,0
24-Jul-06,0,0,0,0
25-Jul-06,0,0,0,0
26-Jul-06,0,0,0,0
27-Jul-06,0,0,1.7,0
28-Jul-06,0,0,2.9,0
29-Jul-06,0,0,14.4,0
30-Jul-06,0,0,2.3,0
31-Jul-06,0,0,7.4,0
1-Aug-06,0,0,1,0
2-Aug-06,0,0,0.8,0
3-Aug-06,0,0,0,0
4-Aug-06,0,0,0,0
5-Aug-06,0,0,0,0
6-Aug-06,0,0,0,0
7-Aug-06,0,0,0,0
8-Aug-06,0,0,0,0.3
9-Aug-06,0,,0,0
10-Aug-06,,2.5,6.4,1.3
11-Aug-06,0,0.2,0.9,4.5
12-Aug-06,0,0,0,0
13-Aug-06,0,0,0,0
14-Aug-06,0,0,0,0
15-Aug-06,,0,0,0
16-Aug-06,4.8,1.2,1.9,5.4
17-Aug-06,0.5,0,0.3,0
18-Aug-06,0,0,3.6,0
19-Aug-06,0,0,1.6,0
20-Aug-06,0,0,20.9,1.3
21-Aug-06,0,0,0,0
22-Aug-06,0,0,3,0
23-Aug-06,0,0,2.5,1.5
24-Aug-06,0,0,1.9,0
25-Aug-06,0,0,0,0
26-Aug-06,0,0,0,0
27-Aug-06,0,0,0.3,0
28-Aug-06,0,0,0,0
29-Aug-06,0,0.1,2.6,0
