,X1
X131,40.9038925170898
X132,47.135139465332
X133,59.9025421142578
X134,53.20166015625
X135,24.4926223754883
X136,14.4651231765747
X137,11.925651550293
X138,2.40181612968445
X139,18.3785934448242
X140,21.4314975738525
X141,71.124137878418
X142,30.0291175842285
X143,35.8376770019531
X144,92.7824630737305
X145,106.48673248291
X146,95.0858612060547
X147,52.9152221679688
X148,16.9489078521729
X149,7.47954797744751
X150,6.239173412323
X151,17.7776737213135
X152,26.8871231079102
X153,59.1492156982422
X154,91.0364151000977
X155,114.813949584961
X156,120.588241577148
X157,125.494522094727
X158,109.624710083008
X159,66.3356704711914
X160,30.0821189880371
X161,3.44683527946472
X162,4.59755039215088
X163,7.51299571990967
X164,18.8594055175781
X165,70.7789535522461
X166,42.3922538757324
X167,85.9521331787109
X168,68.4537353515625
X169,70.0582427978516
X170,121.610702514648
X171,43.4622993469238
X172,24.9214630126953
X173,2.65672993659973
X174,6.0724630355835
X175,7.26071977615356
X176,28.0439205169678
X177,51.6668167114258
X178,57.3785171508789
X179,71.4498977661133
X180,57.275749206543
X181,94.055908203125
X182,130.21369934082
X183,55.6224517822266
X184,14.5802516937256
X185,3.59068965911865
X186,3.63933682441711
X187,12.7029209136963
X188,25.712028503418
X189,39.8104820251465
X190,39.6708641052246
X191,54.448558807373
X192,111.540962219238
X193,118.930458068848
X194,59.8197975158691
X195,31.6947345733643
X196,18.5383930206299
X197,0.479502737522125
X198,0.1805499792099
X199,22.3797607421875
X200,30.3860397338867
X201,45.879467010498
X202,56.1336860656738
X203,73.1584701538086
X204,86.8336334228516
X205,98.5155181884766
X206,104.512748718262
X207,33.5541687011719
X208,6.75378656387329
X209,6.04040002822876
X210,0
X211,7.51435708999634
X212,17.5418548583984
X213,86.7756500244141
X214,39.1894721984863
X215,92.5017395019531
X216,117.821640014648
X217,154.695602416992
X218,97.2832107543945
X219,65.8786315917969
X220,14.7700471878052
X221,4.32555961608887
X222,7.39085531234741
X223,6.80009126663208
X224,44.7171630859375
X225,45.4913139343262
X226,49.2722091674805
X227,67.3500213623047
X228,131.63948059082
X229,148.304092407227
X230,139.650848388672
X231,40.0736656188965
X232,20.6758899688721
X233,8.40221405029297
X234,8.6499662399292
X235,22.2683525085449
X236,7.15410709381104
X237,62.0427055358887
X238,25.6536254882812
X239,81.9508590698242
X240,159.980056762695
X241,76.7985610961914
X242,83.4614410400391
X243,38.6973304748535
X244,19.0489349365234
X245,2.5437433719635
X246,18.1871299743652
X247,11.9838914871216
X248,35.4195823669434
X249,68.0218124389648
X250,53.3759269714355
X251,78.4172515869141
X252,38.487174987793
X253,122.086898803711
X254,101.021499633789
X255,61.34375
X256,20.1849803924561
X257,3.15200114250183
X258,33.7080116271973
X259,16.8431987762451
X260,46.0564270019531
X261,86.0813598632812
X262,94.1898193359375
X263,88.6961364746094
X264,72.6946334838867
X265,81.5477066040039
X266,123.700462341309
X267,54.4370956420898
X268,19.1975917816162
X269,4.33035326004028
X270,6.48944711685181
X271,25.3773097991943
X272,23.1750240325928
X273,27.8487796783447
X274,30.9715900421143
X275,108.55241394043
X276,48.9491500854492
X277,126.214416503906
X278,77.8234558105469
X279,35.1648445129395
X280,20.134485244751
X281,14.3074989318848
X282,15.2173185348511
X283,22.6753978729248
X284,32.396297454834
X285,76.6958770751953
X286,65.2396087646484
X287,112.043991088867
X288,61.1499824523926
X289,76.1658554077148
X290,99.122932434082
X291,36.5159683227539
X292,5.66503095626831
X293,0
X294,6.07073402404785
X295,16.0652141571045
X296,20.6501045227051
X297,59.9784126281738
X298,37.597240447998
X299,98.3100814819336
X300,129.448165893555
X301,86.434944152832
X302,104.663360595703
X303,52.3580551147461
X304,9.24314880371094
X305,9.1519250869751
X306,4.37000703811646
X307,21.9136447906494
X308,23.0758037567139
X309,71.2820129394531
X310,69.4300918579102
X311,102.69660949707
X312,96.7388305664062
X313,75.8043060302734
X314,158.524353027344
X315,52.3444557189941
X316,23.2193355560303
X317,0
X318,0
X319,10.5495891571045
X320,15.5874271392822
X321,54.936840057373
X322,21.9959888458252
X323,90.9511947631836
X324,127.623741149902
X325,104.410163879395
X326,68.0770568847656
X327,38.3383903503418
X328,7.48191690444946
X329,4.81904172897339
X330,2.75696229934692
X331,11.1270542144775
X332,18.5525302886963
X333,86.5782241821289
X334,32.667121887207
X335,81.575553894043
X336,110.02018737793
X337,99.3772201538086
X338,113.867576599121
X339,74.6087112426758
X340,28.3568916320801
X341,7.29232454299927
X342,15.920973777771
X343,20.5909633636475
X344,22.4430389404297
X345,64.0865936279297
X346,90.2664031982422
X347,105.093994140625
X348,139.603958129883
X349,113.67455291748
X350,98.858154296875
X351,51.170036315918
X352,11.9189481735229
X353,5.53019857406616
X354,0.879376649856567
X355,5.82754755020142
X356,17.0625782012939
X357,50.7018203735352
