"","x"
"328",5.97997753864498
"329",5.98087643885054
"330",5.98171496903992
"331",5.98249848826857
"332",5.98323221137247
"333",5.983921200449
"334",5.98457035660952
"335",5.98518441201328
"336",5.9857679221918
"337",5.98632525867223
"338",5.98686060190813
"339",5.98737793452525
"340",5.98788103488983
"341",5.9883734710061
"342",5.98885859474976
"343",5.98933953644324
"344",5.98981919977857
"345",5.9903002570931
"346",5.99078514500291
"347",5.9912760603984
"348",5.99177495680624
"349",5.99228354112133
"350",5.99280327071224
"351",5.99333535090304
"352",5.99388073283437
"353",5.99444011170585
"354",5.99501392540198
"355",5.99560235350306
"356",5.99620531668256
"357",5.99682247649162
"358",5.99745323553172
"359",5.99809673801533
"360",5.99875187071488
"361",5.99941726429936
"362",6.00009129505788
"363",6.00077208700923
"364",6.00145751439562
"365",6.00214520455918
"366",6.0028325411986
