Year,Month,Index
1992,10,0.29
1992,11,0.24
1992,12,0.2
1993,1,0.28
1993,2,0.51
1993,3,0.96
1993,4,1.25
1993,5,1.41
1993,6,1.28
1993,7,1.14
1993,8,0.91
1993,9,0.81
1993,10,0.67
1993,11,0.51
1993,12,0.25
1994,1,0.04
1994,2,-0.3
1994,3,-0.7
1994,4,-0.95
1994,5,-0.88
1994,6,-0.68
1994,7,-0.61
1994,8,-0.33
1994,9,0.18
1994,10,0.67
1994,11,0.97
1994,12,0.97
1995,1,0.83
1995,2,0.37
1995,3,-0.44
1995,4,-0.98
1995,5,-1.18
1995,6,-0.91
1995,7,-0.58
1995,8,-0.34
1995,9,-0.32
1995,10,-0.31
1995,11,-0.55
1995,12,-0.62
1996,1,-0.69
1996,2,-0.53
1996,3,-0.95
1996,4,-1.24
1996,5,-1.73
1996,6,-1.47
1996,7,-1.28
1996,8,-0.85
1996,9,-0.63
1996,10,-0.69
1996,11,-0.82
1996,12,-0.87
1997,1,-0.55
1997,2,0.01
1997,3,0.61
1997,4,1.38
1997,5,2.18
1997,6,3.1
1997,7,3.77
1997,8,4.13
1997,9,4.13
1997,10,4.28
1997,11,4.33
1997,12,4.3
1998,1,3.64
1998,2,3.14
1998,3,2.86
1998,4,2.91
1998,5,2.72
1998,6,2.25
1998,7,1.59
1998,8,0.85
1998,9,0.42
1998,10,0.04
1998,11,-0.07
1998,12,-0.39
1999,1,-0.51
1999,2,-0.48
1999,3,-0.52
1999,4,-0.51
1999,5,-0.67
1999,6,-0.42
1999,7,-0.24
1999,8,-0.38
1999,9,-0.57
1999,10,-0.94
1999,11,-0.8
1999,12,-0.8
2000,1,-0.67
2000,2,-0.67
2000,3,-0.44
2000,4,-0.29
2000,5,-0.15
2000,6,-0.16
2000,7,-0.24
2000,8,-0.27
2000,9,-0.3
2000,10,-0.5
2000,11,-0.72
2000,12,-0.84
2001,1,-0.63
2001,2,-0.29
2001,3,-0.05
2001,4,-0.14
2001,5,-0.49
2001,6,-0.72
2001,7,-0.76
2001,8,-0.81
2001,9,-1.01
2001,10,-1.02
2001,11,-0.99
2001,12,-0.9
2002,1,-0.64
2002,2,-0.06
2002,3,0.49
2002,4,0.73
2002,5,0.58
2002,6,0.26
2002,7,0.04
2002,8,0.07
2002,9,0.27
2002,10,0.66
2002,11,0.92
2002,12,0.85
2003,1,0.48
2003,2,0.07
2003,3,-0.18
